"titel","untertitel","location","location2","sticker","id"
"Palm Island","Die Insel ","Kleine Spiele","Im Regal Erdgeschoss (Links)","P1",""
"Pandemic","Hot Zone Europe","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","26",""
"Passt nicht!","...macht aber nix!","Kleine Spiele","Im Regal Erdgeschoss (Links)","P1.2",""
"Phase 10 ","der knifflige Würfelspaß ","Kleine Spiele","Im Regal Erdgeschoss (Links)","P3.2",""
"Pick a Pen ","Riffe ","Kleine Spiele","Im Regal Erdgeschoss (Links)","P3.3",""
"Pocket Battles","Orks vs Elfen ","Kleine Spiele","Im Regal Erdgeschoss (Links)","P7",""
"Pokemon","","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","29.2",""
"Prey another day","","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","27",""
"Privacy","Quicky","Kleine Spiele","Im Regal Erdgeschoss (Links)","P9.2",""
"Punktesalat","","Kleine Spiele","Im Regal Erdgeschoss (Links)","P10",""
"Quixx","","Kleine Spiele","Im Regal Erdgeschoss (Links)","Q20",""
"Railroad ink","Edition tiefblau","Kleine Spiele","Im Regal Erdgeschoss (Links)","R1",""
"Railroad ink","Edition knallrot","Kleine Spiele","Im Regal Erdgeschoss (Links)","R3",""
"Rainbow Pirates","","Kleine Spiele","Im Regal Erdgeschoss (Links)","R3.1",""
"Rajas of the Ganges","The dice Charmers","Kleine Spiele","Im Regal Erdgeschoss (Links)","R4",""
"Ravine ","A crafty and cooperative Card game","Kleine Spiele","Im Regal Erdgeschoss (Links)","R5",""
"Red pandy","","Kleine Spiele","Im Regal Erdgeschoss (Links)","R6",""
"Rick and Morty","Total Rickall","Kleine Spiele","Im Regal Erdgeschoss (Links)","R8",""
"Saboteur ","Da Duell","Kleine Spiele","Im Regal Erdgeschoss (Links)","S4",""
"Saboteur 2","","Kleine Spiele","Im Regal Erdgeschoss (Links)","S3",""
"Sauscharf","","Kleine Spiele","Im Regal Erdgeschoss (Links)","S5",""
"Say Anything","","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","45715",""
"Schätz it If you can","","Große Spiele","Im Regal Erdgeschoss (Links)","S16.1",""
"Schnitzeljagd","","Kleine Spiele","Im Regal Erdgeschoss (Links)","S7",""
"Schock Besteck","","Kleine Spiele","Im Regal Erdgeschoss (Links)","S8",""
"Schwingenschlag","Ein Flügelschlag-Spiel","Große Spiele","Im Regal Erdgeschoss (Links)","S17",""
"Scotland Yard","Die Jagd nach Mister X","Kleine Spiele","Im Regal Erdgeschoss (Links)","S9",""
"Scout","","Kleine Spiele","Im Regal Erdgeschoss (Links)","S10",""
"Sheriff of Nottingham ","Second Edition ","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","28",""
"SkipBo Deluxe","","Kleine Spiele","Im Regal Erdgeschoss (Links)","S15",""
"Skull","Place, Bid, Bluff","Kleine Spiele","Im Regal Erdgeschoss (Links)","S16",""
"Skull King ","","Kleine Spiele","Im Regal Erdgeschoss (Links)","S16.1",""
