"objectname","id","rating","numplays","weight","own","fortrade","want","wanttobuy","wanttoplay","prevowned","preordered","wishlist","wishlistpriority","wishlistcomment","comment","conditiontext","haspartslist","wantpartslist","collid","baverage","average","avgweight","rank","numowned","objecttype","originalname","minplayers","maxplayers","playingtime","maxplaytime","minplaytime","yearpublished","bggrecplayers","bggbestplayers","bggrecagerange","bgglanguagedependence","publisherid","imageid","year","language","other","itemtype","barcode","pricepaid","pp_currency","currvalue","cv_currency","acquisitiondate","acquiredfrom","quantity","privatecomment","invlocation","invdate","version_publishers","version_languages","version_yearpublished","version_nickname","BG","BH","BI","BJ","BK","BL","BM","BN","BO","BP","BQ","BR","BS","BT","BU","BV","BW","BX","BY","BZ","CA","CB","CC","CD","CE","CF"
"Backgammon","2397","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","111690304","6.3691","6.5635","2.0122","1511","22577","thing","Backgammon","2","2","30","30","30","2002","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Piatnik","German","2002","Piatnik Massivem Holz Edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bad Company","340677","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110496768","6.49432","7.32536","1.8909","1222","3895","thing","Bad Company","1","6","30","30","30","2023","1","2","3","4","5","6","3","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Aporta Games","English","2023","English second edition","","","","","","","","","","","","","","","","","","","",""
"Bali","1352","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110958736","5.55244","6.04286","2.7778","11611","625","thing","Bali","3","4","60","60","60","2001","3","4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2001","German edition","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bananagrams","27225","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110657456","6.20352","6.39652","1.2989","2007","25155","thing","Bananagrams","1","8","15","15","15","2016","2","3","4","5","6","3","4","5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Game Factory","German","2016","German edition","","","","","","","","","","","","","","","","","","","",""
"Bandido","191925","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111760143","6.12407","6.42175","1.1","2338","10660","thing","Bandido","1","4","15","15","10","2016","1","2","3","4","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Helvetiq","Dutch English French German Italian Spanish","2016","Western European edition","","","","","","","","","","","","","","","","","","","","","","",""
"BANG!","3955","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110657748","6.33008","6.48952","1.6319","1607","41297","thing","BANG!","4","7","40","40","20","2015","5","6","7","7","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","ABACUSSPIELE DV Games","German","2015","ABACUSSPIELE German edition 2015","","","","","","","","","","","","","","","","","","","","","","","",""
"BANG! The Dice Game","143741","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110490846","6.74366","6.8959","1.2766","789","39393","thing","BANG! The Dice Game","3","8","15","15","15","2013","5","6","7","8","6","7","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","ABACUSSPIELE DV Games","German","2013","German edition","","","","","","","","","","","","","","","","","","","","","",""
"BANG! The Duel","182094","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110657786","5.79575","6.3897","1.8837","4396","3430","thing","BANG! The Duel","2","2","30","30","30","2016","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","ABACUSSPIELE DV Games","German","2016","German edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbarossa und die Rätselmeister","550","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110496292","5.82121","6.32128","1.5524","4160","2753","thing","Barbarossa","3","4","60","60","60","1988","3","4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","ASS Altenburger Spielkarten","German","1988","ASS German first edition 1988","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bärenpark","219513","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110493927","7.09246","7.29403","1.6575","374","25586","thing","Bärenpark","2","4","45","45","30","2017","2","3","4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Lookout Games Mayfair Games","English German","2017","English/German second edition","","","","","","","","","","","","","","","","","","","","","","","",""
